recipe_id,meal_id,recipe_name,description,instructions,prep_time,cook_time,servings,difficulty,category,diet_type,goal_tag,image_file,is_featured,rating,calories,protein,carbs,fat,fiber,tags,created_at
83,86,"Classic Thick Mango Lassi","Creamy, thick mango lassi — the ultimate Indian summer drink.","1. Blend 1 large ripe alphonso mango (peeled and cubed).
2. Add 1 cup full-fat Greek yogurt.
3. Add 1/2 cup cold whole milk.
4. Add 2 tsp sugar or 1 tsp honey (taste first).
5. Add pinch each: cardamom, saffron.
6. Blend on high till completely smooth.
7. Taste and adjust sweetness.
8. Pour over ice cubes in tall glass.
9. Garnish mango slice, rose water, saffron strands.",5,0,2,Easy,Snack,veg,"Weight Gain",recipes/mango_lassi.jpg,0,4.8,280,8.00,48.00,7.00,3.00,"snack,lassi,mango,indian,drink,yogurt","2026-04-08 02:12:04"
84,87,"Homemade PB Granola Clusters","Crunchy peanut butter granola better than any store version.","1. Preheat oven to 170°C.
2. Mix: 3 cups oats, 1/2 cup peanut butter.
3. Add: 3 tbsp honey, 2 tbsp coconut oil, 1 tsp vanilla.
4. Add: 1/2 cup mixed chopped nuts (almonds, cashews).
5. Add salt, cinnamon — mix very thoroughly.
6. Spread on lined baking sheet, press firmly (creates clusters).
7. Bake 20 min, stir at 10 min carefully.
8. Cool COMPLETELY before touching — this creates crunch.
9. Break into clusters, add dried fruits, store airtight.",10,20,8,Easy,Snack,veg,"Weight Gain",recipes/pb_granola.jpg,0,4.6,420,12.00,52.00,20.00,5.00,"snack,granola,peanutbutter,clusters,crunch,mealprep","2026-04-08 02:12:04"
85,88,"Perfect Fluffy Brown Rice","Cooking brown rice perfectly — the foundation of healthy meal prep.","1. Rinse brown rice 3 times till water runs clear.
2. Optional: soak 30 min for faster cooking.
3. Use ratio: 1 cup rice to 2.5 cups cold water.
4. Add pinch of salt, bring to rolling boil.
5. Reduce to absolute lowest heat, cover tightly.
6. Cook undisturbed exactly 40 min.
7. Remove from heat, keep covered 10 min.
8. Fluff with fork gently.
9. Freeze in portions for easy meal prep.",30,40,3,Easy,Lunch,veg,All,recipes/brown_rice.jpg,0,4.2,215,5.00,45.00,1.50,3.50,"staple,rice,brown,mealprep,healthy,carbs","2026-04-08 02:12:04"
86,90,"Golden Turmeric Cottage Cheese Bowl","High-protein bowl with anti-inflammatory turmeric and fresh toppings.","1. Scoop 200g fresh cottage cheese into bowl.
2. Drizzle 1 tsp extra virgin olive oil.
3. Sprinkle: turmeric, black pepper (activates curcumin), salt.
4. Add sliced cucumber, cherry tomatoes.
5. Add sliced radish, spring onion.
6. Add fresh herbs: mint or dill.
7. Drizzle honey if serving as sweet version with fruits.
8. Sprinkle toasted seeds for texture.
9. Best served immediately, with toast on side.",5,0,1,Easy,Snack,veg,"Muscle Gain",recipes/cottage_cheese_bowl.jpg,0,4.4,240,22.00,14.00,10.00,2.00,"snack,cottage,cheese,protein,turmeric,antiinflammatory","2026-04-08 02:12:04"
87,91,"Crispy 3-Cheese Ultimate Omelette","Rich, indulgent 3-egg omelette for weight gain phase.","1. Crack 3 large whole eggs, whisk well.
2. Add 1 tbsp cream, salt, pepper, herbs.
3. Grate: cheddar, mozzarella, and parmesan ready.
4. Heat butter in pan, add egg mixture.
5. Gently push cooked edges toward center.
6. When 80% set, add all 3 cheeses to one half.
7. Fold over, press gently.
8. Slide onto plate.
9. Top with fresh tomato salsa, serve with 2 toast.",3,7,1,Easy,Breakfast,nonveg,"Weight Gain",recipes/cheese_omelette.jpg,0,4.4,320,22.00,4.00,24.00,0.50,"breakfast,omelette,cheese,eggs,rich,weightgain","2026-04-08 02:12:04"
88,92,"Tandoori Spiced Chicken Tikka","Authentic tandoori chicken tikka with classic marinade.","1. Cut chicken breast into large cubes.
2. First marinade (30 min): raw papaya paste, lemon, salt.
3. Second marinade (2-4 hours): hung curd, ginger-garlic, kashmiri chili, tandoori masala, oil.
4. Skewer on metal skewers.
5. Cook in preheated 250°C oven or over charcoal grill.
6. Cook 15-20 min, turning every 5 min.
7. Brush with butter while cooking.
8. Should have slight char.
9. Serve with mint chutney, onion rings, lemon.",270,20,3,Medium,Snack,nonveg,"Muscle Gain",recipes/chicken_tikka.jpg,0,4.7,180,24.00,6.00,7.00,0.50,"snack,chicken,tikka,tandoori,indian,protein","2026-04-08 02:12:04"
89,93,"Loaded Tuna Salad Wrap","Quick, portable protein wrap with omega-3 rich tuna salad.","1. Drain 1 can tuna well.
2. Mix: tuna, 1 tbsp mayo, 1 tsp Dijon, lemon, celery.
3. Add sweet relish, salt, pepper.
4. Warm large whole wheat tortilla.
5. Spread tuna mixture down center.
6. Add: romaine, tomato, cucumber, avocado slices.
7. Fold sides in, roll tightly from bottom.
8. Cut diagonally — secure with toothpick if needed.
9. Wrap in parchment for easy transport.",8,2,1,Easy,Lunch,nonveg,"Weight Loss",recipes/tuna_sandwich.jpg,0,4.3,350,28.00,30.00,12.00,3.00,"lunch,tuna,wrap,portable,mealprep,omega3","2026-04-08 02:12:04"
90,95,"Egg Salad Power Bowl","Protein-rich egg salad bowl with avocado and mixed greens.","1. Hard boil 4 eggs (10 min), cool in ice water, peel.
2. Chop eggs roughly.
3. Make dressing: 1 tbsp mayo, 1 tsp Dijon, lemon, salt, dill.
4. Mix eggs with dressing.
5. Serve over bed of mixed greens.
6. Add avocado slices.
7. Add cherry tomatoes, cucumber.
8. Season with salt, pepper, paprika.
9. Drizzle extra lemon juice.",15,0,2,Easy,Breakfast,nonveg,"Weight Loss",recipes/hard_boiled_eggs.jpg,0,4.2,220,16.00,4.00,16.00,0.50,"breakfast,eggs,salad,bowl,protein,portable","2026-04-08 02:12:04"
91,96,"Light Chicken Clear Broth Soup","Healing, restorative light chicken soup — minimal calories, maximum comfort.","1. Place chicken bones/carcass in pot with 6 cups water.
2. Add: halved onion, ginger slices, garlic, celery, carrot.
3. Bring to boil, skim foam.
4. Reduce heat, simmer 1.5 hours.
5. Strain broth completely.
6. Return clear broth to pot, bring to simmer.
7. Add julienned carrot, sliced mushroom, bok choy.
8. Season: soy sauce, salt, white pepper, sesame oil.
9. Add thin noodles if desired, serve hot.",10,95,4,Easy,Dinner,nonveg,"Weight Loss",recipes/chicken_soup.jpg,0,4.3,120,14.00,6.00,4.00,0.50,"dinner,soup,chicken,light,broth,healing","2026-04-08 02:12:04"
92,98,"Chilled Prawn Cocktail Salad","Elegant protein salad with poached prawns and Marie Rose sauce.","1. Bring water to boil with lemon, peppercorns, bay leaf.
2. Poach 300g prawns 3-4 min till pink.
3. Cool in ice water immediately.
4. Make Marie Rose sauce: mayo, ketchup, Worcestershire, lemon, paprika.
5. Line bowl with iceberg lettuce shreds.
6. Add prawns, avocado cubes, cucumber.
7. Drizzle sauce generously.
8. Dust with paprika.
9. Garnish lemon wedge, serve chilled.",20,5,2,Easy,Lunch,nonveg,"Weight Loss",recipes/prawn_masala.jpg,0,4.4,280,24.00,18.00,12.00,3.00,"lunch,prawn,cocktail,salad,elegant,seafood","2026-04-08 02:12:04"
93,99,"Post-Workout Whey Protein Smoothie","Fast-absorbing post-workout shake with whey, banana, and oats.","1. Add 1 cup cold milk or almond milk to blender.
2. Add 1 scoop vanilla whey protein powder.
3. Add 1 frozen banana (frozen = creamier).
4. Add 3 tbsp rolled oats.
5. Add 1 tbsp peanut butter.
6. Add 5 ice cubes.
7. Blend on high 60 seconds till completely smooth.
8. Taste — add honey if needed.
9. Drink within 30 min of workout.",5,0,1,Easy,Snack,nonveg,"Muscle Gain",recipes/whey_smoothie.jpg,0,4.5,180,22.00,6.00,7.00,0.50,"snack,protein,smoothie,whey,postworkout,shake","2026-04-08 02:12:04"
94,100,"Honey Vanilla Greek Yogurt","Simple, protein-dense snack with live cultures and natural sweetness.","1. Scoop 200g thick Greek yogurt into bowl.
2. Drizzle 1-2 tsp raw honey on top.
3. Add 1/4 tsp vanilla extract.
4. Add pinch of cinnamon.
5. Top with fresh berries: blueberry, strawberry, raspberry.
6. Add 1 tbsp granola for crunch.
7. Add 5-6 walnut halves.
8. Optional: chia seeds for extra fiber.
9. Serve immediately.",3,0,1,Easy,Snack,veg,All,recipes/yogurt_parfait.jpg,0,4.5,150,12.00,18.00,4.00,0.50,"snack,yogurt,greek,honey,probiotic,quick","2026-04-08 02:12:04"
